,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
0,1,2.8903717578961645,4,2,6.955592608396297,1,2,4,2,1,4,2,3.044522437723423,3,1,1,3,2,1,2,1
1,1,2.1972245773362196,4,0,7.937017489515454,1,3,2,3,1,2,1,3.58351893845611,3,1,2,3,1,1,2,1
2,2,2.4849066497880004,2,9,6.734591659972948,2,4,2,2,1,4,1,3.1354942159291497,3,1,1,2,2,1,2,1
3,1,2.4849066497880004,4,0,7.660114319173928,1,3,3,3,1,2,1,3.6635616461296463,3,1,2,2,1,1,1,1
4,1,2.302585092994046,4,0,7.714677473800927,1,2,1,3,1,3,1,3.871201010907891,3,1,2,2,1,1,1,1
5,1,2.0794415416798357,4,0,8.130942302231878,1,4,1,3,1,4,1,3.6635616461296463,3,2,2,2,2,1,1,1
6,1,1.791759469228055,4,0,7.215975002651466,1,2,2,3,1,4,1,3.6888794541139363,3,2,1,2,1,1,1,1
7,4,2.8903717578961645,4,3,7.001245622069476,1,1,4,2,1,4,3,4.174387269895637,3,2,2,1,2,1,2,1
8,2,3.1780538303479458,2,3,8.231642179973411,3,1,1,2,1,4,4,3.1354942159291497,3,1,1,1,2,1,2,1
9,1,2.3978952727983707,4,0,8.270013062273787,1,3,2,3,1,2,1,3.58351893845611,3,1,2,3,1,1,2,1
10,1,3.4011973816621555,4,1,8.73020559553099,2,4,1,4,1,4,3,3.1780538303479458,3,1,2,3,2,1,2,1
11,1,1.791759469228055,4,3,7.579167967396076,1,4,1,2,1,4,3,3.4339872044851463,3,2,1,3,2,1,2,1
12,2,3.871201010907891,3,10,8.93353229607628,2,1,2,3,1,4,4,3.4339872044851463,3,2,1,4,2,2,2,1
13,1,1.791759469228055,2,3,7.881182202227102,3,3,2,3,1,3,1,3.784189633918261,3,1,1,3,1,1,2,1
14,1,2.3978952727983707,4,0,8.278682162970906,1,3,1,3,1,2,1,3.6888794541139363,3,2,2,2,1,1,2,1
15,2,2.8903717578961645,2,3,8.074960359115858,3,2,1,4,1,3,1,3.2188758248682006,3,1,1,3,2,1,2,1
16,4,2.3978952727983707,4,0,8.885717651712119,1,3,1,3,1,4,2,3.6635616461296463,3,2,2,2,2,1,2,1
17,2,2.4849066497880004,4,0,8.046869510959576,1,2,1,3,1,3,1,3.8918202981106265,1,2,2,2,1,1,2,1
18,2,2.4849066497880004,4,4,7.261225091971921,1,4,4,3,1,3,2,3.258096538021482,3,2,1,3,2,1,2,1
19,1,1.791759469228055,4,0,8.458716261657262,5,2,1,3,1,3,1,3.784189633918261,3,2,2,2,1,1,2,1
20,2,2.3978952727983707,3,3,8.470311205516108,1,4,2,3,1,4,2,3.9318256327243257,3,2,1,3,2,1,2,1
21,1,2.4849066497880004,2,2,6.480044561926653,1,5,4,2,1,4,2,3.1780538303479458,3,1,1,3,2,1,2,1
22,4,2.70805020110221,2,0,8.176391596633795,5,3,3,3,1,2,4,3.367295829986474,3,2,1,3,2,1,2,1
23,3,3.7376696182833684,4,1,8.475537516147405,1,5,4,3,1,4,4,4.02535169073515,3,3,1,3,2,1,2,1
24,3,3.4011973816621555,4,3,8.012018239159062,1,5,4,3,1,4,2,3.8501476017100584,3,2,1,3,2,1,2,1
25,4,3.58351893845611,4,0,8.170468578330674,1,4,4,3,1,4,3,3.6109179126442243,3,2,2,3,2,2,2,1
26,4,3.1780538303479458,2,3,7.226936018493289,3,4,4,2,1,1,3,3.332204510175204,3,2,1,3,2,1,2,1
27,1,2.70805020110221,2,0,7.450660796211539,1,2,2,3,1,3,1,3.58351893845611,3,2,1,3,2,1,2,1
28,1,1.791759469228055,4,0,6.756932389247553,1,5,1,2,1,4,4,3.6635616461296463,3,2,2,3,2,2,2,1
29,4,2.4849066497880004,4,0,7.3098814858247865,1,5,4,3,1,1,1,3.6375861597263857,3,2,2,2,1,1,2,1
30,4,2.4849066497880004,4,3,7.56734567601324,1,5,2,3,1,2,4,3.258096538021482,3,2,2,3,2,1,2,1
31,4,2.8903717578961645,2,1,8.125039097367745,5,3,2,3,1,1,2,3.4339872044851463,3,2,1,3,2,2,2,1
32,4,3.1780538303479458,4,1,8.260492856573185,1,5,4,2,1,2,3,3.713572066704308,3,1,2,4,2,2,2,1
33,4,2.4849066497880004,4,5,6.903747257584598,5,4,4,2,1,4,1,3.1354942159291497,3,2,2,3,2,1,2,1
